catalyst,solvent,temperature_C,time_min,yield_pct
Ni,water,100.8,185,21.33
Pd,THF,39.3,189,0.0
Pd,DMF,30.3,115,0.0
Pd,DMF,49.0,214,1.75
Pd,water,37.9,210,0.0
Pd,water,57.4,63,7.27
Pd,THF,131.0,126,6.01
Cu,water,122.4,101,0.0
Ni,THF,120.6,18,5.82
Cu,DMF,52.4,62,32.08
Pd,water,40.5,19,0.0
Cu,water,147.4,41,1.53
Pd,DMF,49.9,143,0.0
Ni,THF,105.1,30,7.82
Ni,THF,89.9,66,14.33
Ni,DMF,131.2,104,37.37
Ni,THF,139.2,112,56.63
Cu,DMF,101.7,206,0.0
Cu,DMF,148.7,175,0.0
Pd,THF,40.1,171,0.0
Cu,water,136.8,107,1.32
Pd,DMF,132.8,147,7.84
Cu,water,54.0,128,64.38
Pd,THF,62.0,70,19.5
Pd,water,68.4,231,0.0
Pd,THF,25.2,168,6.69
Pd,DMF,116.2,115,13.64
Ni,DMF,55.5,20,2.48
Ni,water,141.9,34,6.67
Cu,water,79.3,212,5.57
Ni,water,89.4,137,11.5
Cu,DMF,36.2,186,0.39
Cu,THF,66.9,95,38.6
Cu,water,49.0,53,45.24
Pd,water,116.6,165,2.69
Pd,water,88.5,47,12.96
Cu,water,71.6,163,28.16
Pd,water,132.0,127,0.02
Ni,water,86.4,96,8.94
Ni,DMF,72.6,191,7.5
Pd,THF,56.3,238,0.98
Cu,DMF,117.8,231,0.56
Pd,THF,66.8,43,31.44
Pd,THF,146.4,50,0.97
Ni,water,33.8,95,0.0
Pd,water,73.9,182,0.0
Pd,water,103.2,189,0.0
Cu,water,97.2,27,3.24
Cu,THF,136.2,134,0.0
Pd,DMF,142.1,237,0.87
Cu,water,119.0,96,0.0
Pd,THF,96.0,24,29.47
Ni,water,70.0,173,6.64
Pd,DMF,107.5,110,29.09
Ni,water,111.2,69,9.61
Pd,THF,77.2,198,0.0
Ni,DMF,138.2,232,10.97
Ni,THF,73.4,86,4.5
Ni,water,77.2,169,4.08
Cu,THF,139.4,84,0.19
Pd,DMF,28.3,33,0.0
Pd,THF,99.1,118,22.59
Cu,THF,119.2,51,0.84
Cu,water,80.4,143,13.75
Pd,water,92.1,45,11.39
Cu,DMF,77.7,185,1.12
Ni,DMF,51.5,167,0.0
Pd,THF,122.4,224,0.0
Cu,water,28.1,38,2.72
Cu,THF,89.4,233,0.0
Cu,water,93.1,85,10.63
Pd,water,138.3,42,5.4
Pd,DMF,147.8,169,1.23
Ni,THF,30.0,227,2.31
Ni,water,54.2,68,0.0
Cu,THF,35.1,43,3.26
Cu,THF,110.0,37,2.24
Ni,THF,85.1,131,26.92
Ni,water,88.9,224,7.28
Pd,DMF,93.1,77,94.28
Cu,water,98.9,119,8.01
Cu,DMF,137.6,67,0.0
Cu,THF,113.0,233,1.27
Pd,THF,76.8,123,17.33
Ni,THF,50.8,233,8.74
Cu,water,80.9,102,36.65
Pd,water,35.4,147,1.09
Ni,THF,97.5,116,51.66
Pd,water,100.6,89,7.75
Cu,THF,150.0,116,2.66
Ni,THF,91.4,229,17.2
Cu,DMF,42.8,126,18.16
Ni,THF,98.0,197,40.48
Cu,THF,66.4,123,42.22
Pd,THF,76.6,163,7.02
Pd,DMF,117.2,50,33.33
Cu,water,31.4,17,0.8
Cu,THF,96.4,160,0.0
Pd,water,139.9,106,4.61
Ni,THF,99.3,76,28.97
Ni,water,68.4,149,0.36
Pd,DMF,109.5,179,4.47
Ni,water,87.8,169,15.59
Ni,THF,44.1,16,0.0
Ni,water,63.8,92,1.11
Cu,water,98.2,35,2.09
Pd,THF,147.1,149,0.0
Cu,DMF,120.2,189,4.25
Cu,THF,115.5,99,8.62
Cu,water,71.0,60,53.19
Ni,water,145.3,60,7.46
Ni,water,44.8,118,0.0
Ni,DMF,75.1,23,2.17
Cu,water,49.0,196,7.98
Ni,THF,146.8,73,17.05
Ni,water,126.1,143,33.22
Ni,THF,40.8,160,3.46
Ni,THF,133.9,178,73.18
Ni,DMF,79.0,216,5.21
Ni,THF,32.1,173,0.0
Cu,water,104.2,53,0.0
Ni,THF,125.5,65,30.71
Ni,DMF,99.5,139,49.22
Pd,THF,52.2,215,0.0
Cu,DMF,66.6,183,4.7
Ni,water,30.6,201,0.0
Ni,DMF,96.4,202,26.14
Ni,DMF,110.6,164,49.44
Ni,DMF,65.0,178,9.93
Ni,THF,131.0,95,45.35
Pd,THF,41.9,191,0.61
Cu,DMF,61.6,156,22.64
Cu,DMF,34.6,90,12.89
Cu,water,34.7,65,14.79
Pd,DMF,81.1,236,0.0
Pd,THF,78.6,218,0.0
Ni,DMF,119.8,142,54.84
Ni,THF,92.2,93,20.49
Ni,THF,74.9,167,12.97
Pd,DMF,113.9,30,36.78
Pd,water,48.4,65,0.0
Ni,THF,79.8,178,16.88
Ni,THF,126.4,112,61.2
Ni,THF,129.1,173,75.45
Pd,THF,75.7,49,35.54
Cu,water,110.1,23,3.19
Ni,water,25.4,168,0.22
Pd,water,68.6,234,6.45
Pd,water,32.8,28,7.28
Pd,THF,89.7,47,48.94
